Sample,# Input reads,# Trimmed reads (fastp),% Non-host reads (Kraken 2),% Mapped reads,# Mapped reads,# Trimmed reads (iVar),Coverage median,% Coverage > 1x,% Coverage > 10x,# SNPs,# INDELs,# Missense variants,# Ns per 100kb consensus,Pangolin lineage,Nextclade clade
214821,316942,285604,98.9180823797986,98.54,281428,281038,287,98.0,92.0,20,1,12,8442.32,NA,NA
214822,382722,306868,36.6652762751411,20.09,61642,61447,6,67.0,41.0,16,2,12,58831.99,NA,NA
214823,298848,196898,41.969953986327944,0.1,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214824,364,248,66.93548387096774,55.65,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214825,306712,277306,99.46124497847144,97.74,271052,270695,217,98.0,91.0,18,NA,11,9102.77,NA,NA
214826,380062,337052,99.75374719627833,99.28,334627,334101,239,99.0,92.0,18,NA,11,7868.78,NA,NA
214827,493956,246530,77.30255952622399,32.19,79361,77172,10,70.0,50.0,21,NA,12,49724.11,NA,NA
214828,386996,312802,81.84410585610067,69.75,218183,217770,33,89.0,68.0,17,NA,9,32314.48,NA,NA
214829,432110,379598,98.19862064605186,97.51,370149,369582,249,98.0,89.0,22,NA,9,10654.45,NA,NA
214830,399552,354342,85.79056391847423,84.72,300202,299799,169,97.0,88.0,22,NA,10,12145.94,NA,NA
214831,319564,253440,15.07339015151515,4.43,11221,11153,NA,49.0,22.0,18,NA,8,77513.96,NA,NA
214832,12036,5052,26.999208234362627,7.21,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214833,450792,326700,62.184879093970004,26.96,88067,87525,16,82.0,55.00000000000001,19,NA,9,44935.29,NA,NA
214834,443852,384218,81.03732776704892,77.18,296545,296058,85,96.0,83.0,18,1,9,17289.24,NA,NA
214835,482676,347078,75.77432162222901,46.94,162912,162195,32,86.0,67.0,25,3,13,32555.18,NA,NA
214836,479856,362840,58.94443831992062,31.73,115115,114688,9,75.0,49.0,16,NA,9,50530.05,NA,NA
214837,469580,400430,71.76335439402642,55.88,223768,223377,52,94.0,75.0,25,1,12,25351.97,NA,NA
214838,156098,113674,54.851593152347945,5.49,6240,6198,1,56.99999999999999,27.0,9,1,3,73340.47,NA,NA
220338,265944,214610,65.44243045524439,49.6,106457,106295,28,90.0,68.0,31,3,22,31881.92,NA,NA
220339,346512,310682,95.66695206030603,95.17,295685,295275,401,100.0,91.0,47,3,33,8766.06,NA,NA
220407,233538,188574,22.710447887831833,2.12,4001,3966,NA,44.0,20.0,8,NA,6,80175.9,NA,NA
220433,179434,69680,79.81343283582089,23.34,16261,16188,3,63.0,36.0,19,NA,16,64030.36,NA,NA
220518,163942,87796,65.67725181101645,31.01,27222,27130,2,61.0,37.0,17,3,13,63283.94,NA,NA
220529,278216,243588,80.03185707013482,79.09,192650,192328,86,93.0,79.0,39,3,29,21148.96,NA,NA
220530,302760,258694,84.39005156671588,63.63,164599,164351,27,89.0,67.0,39,3,30,32758.79,NA,NA
220531,361270,322478,95.34231792556392,95.17,306896,306433,317,98.0,90.0,54,3,43,9950.48,NA,NA
220532,282166,240540,62.82447825725451,60.51,145549,145279,29,86.0,68.0,35,5,27,31517.67,NA,NA
220533,172350,146454,7.83181067092739,5.2,7609,7589,NA,41.0,15.0,6,NA,4,85292.45,NA,NA
220534,424878,383046,94.97501605551292,94.39,361544,361008,505,98.0,91.0,53,5,42,8908.14,NA,NA
220535,431498,372112,68.11658855398375,66.5,247472,247043,39,88.0,72.0,38,3,26,28359.21,NA,NA
220536,400400,342222,59.196077400050264,57.41,196456,196125,27,88.0,66.0,33,3,23,33555.27,NA,NA
220537,336448,296640,94.72963861920172,94.05,278999,278467,171,96.0,85.0,48,3,35,14735.01,NA,NA
220538,357378,316128,81.82002226946047,81.11,256420,255981,154,95.0,84.0,47,3,35,16056.61,NA,NA
220539,404678,350584,86.30741847888095,84.19,295145,294673,50,92.0,73.0,34,3,23,26759.9,NA,NA
220540,412964,349706,24.64069818647664,21.13,73909,73754,3,64.0,33.0,17,2,14,67334.78,NA,NA
220541,379132,314886,78.10572715204867,77.32,243456,242998,131,96.0,82.0,43,3,32,18378.61,NA,NA
220542,332120,290650,83.17564080509203,79.65,231509,231185,17,81.0,56.00000000000001,28,2,21,43636.49,NA,NA
220543,439190,393188,98.38550515275135,98.18,386045,385462,340,97.0,89.0,52,3,41,11098.1,NA,NA
220544,344446,301018,88.82857503537994,87.53,263474,263058,44,89.0,72.0,44,3,35,28081.5,NA,NA
220545,301966,265640,95.18446017166089,90.72,240982,240678,50,93.0,76.0,37,3,26,24270.61,NA,NA
220546,291190,257054,86.21768188785236,85.43,219613,219266,127,95.0,81.0,47,3,33,19218.42,NA,NA
220599,227788,189680,21.021720792914383,12.17,23086,23047,6,75.0,43.0,20,NA,18,56967.53,NA,NA
220600,296648,245316,9.717262632686005,0.03,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220601,344828,296392,90.88706847688198,90.49,268212,267704,798,100.0,97.0,52,7,40,2972.29,NA,NA
220603,300,132,86.36363636363636,77.27,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220624,350480,295422,70.21278036165215,61.09,180473,180168,25,91.0,67.0,35,3,26,33264.19,NA,NA
220625,325138,280118,69.54569145859959,65.49,183443,183135,19,83.0,59.0,28,3,21,41391.19,NA,NA
220626,322846,284748,96.54571761698062,95.74,272621,271976,62,93.0,76.0,34,4,22,24468.01,NA,NA
220627,390592,346396,98.45841175995103,98.18,340102,339471,303,99.0,90.0,44,5,31,10406.77,NA,NA
220628,368766,322910,97.10074014431265,96.75,312419,311876,270,98.0,89.0,56,3,41,11175.05,NA,NA
220629,486080,415182,77.55394019971963,73.86,306635,306018,25,85.0,65.0,37,5,27,34692.85,NA,NA
220630,336320,295142,58.844894999695065,57.7,170297,170017,81,92.0,72.0,35,3,25,28007.9,NA,NA
220631,309884,274184,73.4878767542964,72.86,199758,199489,122,96.0,81.0,46,2,31,18918.92,NA,NA
220633,496616,440478,96.74035933690219,96.03,422987,422312,168,96.0,83.0,39,3,29,17170.77,NA,NA
220634,436114,373722,67.5068633904346,61.03,228069,227720,28,86.0,65.0,31,3,23,34870.18,NA,NA
220635,389300,333686,79.7180582943246,74.28,247874,247463,36,90.0,70.0,39,4,28,29841.41,NA,NA
220636,383082,329688,94.56698454296183,74.84,246754,246352,29,87.0,67.0,42,4,30,33481.66,NA,NA
220637,465292,412358,97.53660654091833,96.27,396982,396323,245,98.0,86.0,43,3,30,13828.29,NA,NA
220638,315490,280140,97.72256728778468,97.46,273014,272569,195,97.0,85.0,53,5,38,14942.8,NA,NA
220639,342404,293692,89.31261321384308,82.8,243186,242722,22,85.0,64.0,30,4,23,35726.71,NA,NA
220640,327148,283734,89.35481824525789,85.33,242119,241777,41,93.0,71.0,35,3,22,28827.62,NA,NA
220642,337862,287392,62.89040752700144,58.29,167518,167292,15,83.0,57.99999999999999,30,3,20,42353.49,NA,NA
220644,385638,329228,82.05681169280862,78.47,258356,257961,31,87.0,67.0,35,6,25,33424.79,NA,NA
220646,427090,372318,88.2331770153471,86.52,322145,321629,64,92.0,78.0,36,3,26,22356.8,NA,NA
220647,494176,433376,96.28082773388466,91.43,396231,395606,170,95.0,86.0,51,3,38,14413.81,NA,NA
220648,414028,343850,49.765304638650576,43.11,148232,147958,13,75.0,54.0,26,4,19,45717.34,NA,NA
220649,422718,357146,85.58964681110807,83.7,298948,298393,31,90.0,68.0,40,4,28,32119.91,NA,NA
220650,398930,345044,93.90454550723966,92.77,320092,319599,66,93.0,73.0,36,3,25,27495.99,NA,NA
220651,457958,375890,75.85091383117401,72.05,270823,270288,24,86.0,65.0,38,3,28,34803.27,NA,NA
220652,375618,324144,92.01712818994028,90.63,293776,293298,44,92.0,72.0,41,3,27,27857.33,NA,NA
220653,332128,281982,56.100744019121784,42.63,120219,120006,8,74.0,48.0,28,3,21,52462.03,NA,NA
220654,300436,264482,92.65885769163876,91.34,241570,241203,57,92.0,76.0,38,3,26,23705.17,NA,NA
220655,393176,342522,97.55110620631667,97.21,332968,332396,144,96.0,84.0,50,3,35,15919.43,NA,NA
220656,409114,342082,58.093088791576285,54.61,186800,186038,7,74.0,45.0,26,2,19,55263.07,NA,NA
220657,337772,289618,83.14745630451145,80.7,233722,233362,18,83.0,59.0,28,2,22,41141.25,NA,NA
220658,334450,288798,77.47491326117218,75.32,217510,217129,26,87.0,68.0,34,3,27,32347.13,NA,NA
220659,375278,325092,95.24934480085638,94.72,307924,307410,127,94.0,81.0,42,3,29,18810.22,NA,NA
220660,355660,314206,91.65006397077077,90.28,283672,283214,129,94.0,84.0,45,3,29,16464.8,NA,NA
220661,435370,377508,95.38393888341439,94.78,357815,357204,146,96.0,81.0,45,4,31,18592.75,NA,NA
220663,448948,367268,38.27232429724343,28.58,104983,104809,4,65.0,41.0,29,1,23,58981.74,NA,NA
220664,354478,310374,97.8271375824006,97.48,302546,302086,230,97.0,87.0,49,3,38,13497.06,NA,NA
220665,393704,335192,92.99625289386381,86.58,290215,289736,47,91.0,72.0,41,4,27,28329.1,NA,NA
220666,298722,240438,43.83916019930294,38.52,92624,92465,4,68.0,40.0,22,4,17,59956.51,NA,NA
220667,356530,310152,97.95971007763936,97.56,302582,301989,127,94.0,81.0,46,3,29,18867.1,NA,NA
220668,322372,259344,74.36532173483867,68.56,177798,177421,15,80.0,57.99999999999999,34,3,22,42413.19,NA,NA
220669,377304,310808,83.75395742709325,81.76,254109,253502,32,89.0,68.0,37,3,26,32002.81,NA,NA
220670,466540,410196,89.57961559839687,88.29,362154,361638,90,94.0,78.0,39,4,30,21514.37,NA,NA
220671,335280,281328,96.59401126087698,96.0,270074,269588,161,97.0,83.0,43,3,31,17224.3,NA,NA
220672,344566,286140,88.36513594743832,84.1,240636,240096,35,87.0,70.0,36,4,23,30192.09,NA,NA
220675,378180,310914,66.55924146226931,60.25,187328,186944,12,78.0,54.0,30,2,22,46409.34,NA,NA
220677,357032,305936,88.044558338999,86.75,265405,264932,47,91.0,71.0,38,3,28,29038.41,NA,NA
220678,407204,346738,94.27463964145839,93.41,323905,323270,98,95.0,81.0,38,3,28,19021.01,NA,NA
220679,316188,276880,87.93484542039873,84.28,233349,232957,63,91.0,75.0,40,3,27,24712.26,NA,NA
220680,444904,363996,43.487291069132624,38.03,138444,138242,11,78.0,51.0,28,3,24,49070.3,NA,NA
220684,378006,327920,90.79470602585997,89.28,292768,292274,63,93.0,75.0,33,3,25,25046.84,NA,NA
220685,319610,276336,86.64379595854322,84.52,233558,233170,56,91.0,75.0,39,3,29,25488.49,NA,NA
